"","X","common_name","scientific_name","recordist_name","recording_length","Date","TYPE","xc_id","Time","Country","Download_link","genus","file_dir"
"56",56,"North Island Brown Kiwi","Apteryx mantelli","James Lidster","0:04","2020-01-17","call","XC525926","21:30","New Zealand","https://xeno-canto.org/525926/download","Apteryx","mp3s/Apteryx55.mp3"
"57",57,"North Island Brown Kiwi","Apteryx mantelli","Dan Lane","0:27","2018-11-30","song","XC444283","21:00","New Zealand","https://xeno-canto.org/444283/download","Apteryx","mp3s/Apteryx56.mp3"
"58",58,"Okarito Kiwi","Apteryx rowi","Ralf Wendt","0:19","2016-12-26","call","XC356323","23:00","New Zealand","https://xeno-canto.org/356323/download","Apteryx","mp3s/Apteryx57.mp3"
"59",59,"Okarito Kiwi","Apteryx rowi","Ralf Wendt","0:23","2016-12-26","call","XC356322","23:00","New Zealand","https://xeno-canto.org/356322/download","Apteryx","mp3s/Apteryx58.mp3"
"60",60,"Okarito Kiwi","Apteryx rowi","Ralf Wendt","0:17","2016-12-26","call","XC356321","23:00","New Zealand","https://xeno-canto.org/356321/download","Apteryx","mp3s/Apteryx59.mp3"
"61",61,"Okarito Kiwi","Apteryx rowi","Jonas Kotlarz","0:13","2016-02-13","call","XC311777","22:00","New Zealand","https://xeno-canto.org/311777/download","Apteryx","mp3s/Apteryx60.mp3"
"62",62,"Okarito Kiwi","Apteryx rowi","Johannes Fischer","0:05","2015-04-07","call, song","XC236298","20:00","New Zealand","https://xeno-canto.org/236298/download","Apteryx","mp3s/Apteryx61.mp3"
"63",63,"Little Spotted Kiwi","Apteryx owenii","Fernand DEROUSSEN","0:25","2013-10-02","song","XC152944","22:00","New Zealand","https://xeno-canto.org/152944/download","Apteryx","mp3s/Apteryx62.mp3"
"64",64,"Little Spotted Kiwi","Apteryx owenii","Patrik Åberg","0:26","2005-01-06","song","XC33754","?","New Zealand","https://xeno-canto.org/33754/download","Apteryx","mp3s/Apteryx63.mp3"
"65",65,"Little Spotted Kiwi","Apteryx owenii","nick talbot","0:16","2012-11-19","call","XC182608","20:30","New Zealand","https://xeno-canto.org/182608/download","Apteryx","mp3s/Apteryx64.mp3"
"66",66,"Little Spotted Kiwi","Apteryx owenii owenii","David Bradley","0:51","2011-04-12","duet, song","XC88143","04:00","New Zealand","https://xeno-canto.org/88143/download","Apteryx","mp3s/Apteryx65.mp3"
"67",67,"Little Spotted Kiwi","Apteryx owenii","Stefan Greif","0:27","2018-12-28","call","XC498079","22:00","New Zealand","https://xeno-canto.org/498079/download","Apteryx","mp3s/Apteryx66.mp3"
"68",68,"Little Spotted Kiwi","Apteryx owenii","Johannes Fischer","0:20","2015-03-01","call","XC215249","21:00","New Zealand","https://xeno-canto.org/215249/download","Apteryx","mp3s/Apteryx67.mp3"
"69",69,"Great Spotted Kiwi","Apteryx haastii","David Boyle","0:44","2021-07-31","duet","XC666024","21:00","New Zealand","https://xeno-canto.org/666024/download","Apteryx","mp3s/Apteryx68.mp3"
"70",70,"Great Spotted Kiwi","Apteryx haastii","David Boyle","1:08","2020-07-25","duet","XC579690","18:45","New Zealand","https://xeno-canto.org/579690/download","Apteryx","mp3s/Apteryx69.mp3"
"71",71,"Great Spotted Kiwi","Apteryx haastii","Dan Lane","0:31","2018-11-21","song","XC444298","09:00","New Zealand","https://xeno-canto.org/444298/download","Apteryx","mp3s/Apteryx70.mp3"
"72",72,"Great Spotted Kiwi","Apteryx haastii","Dan Lane","0:21","2016-11-18","song","XC345367","00:00","New Zealand","https://xeno-canto.org/345367/download","Apteryx","mp3s/Apteryx71.mp3"
"73",73,"Great Spotted Kiwi","Apteryx haastii","George Wagner","0:25","2012-11-26","call","XC114351","22:25","New Zealand","https://xeno-canto.org/114351/download","Apteryx","mp3s/Apteryx72.mp3"
"74",74,"Great Spotted Kiwi","Apteryx haastii","George Wagner","0:14","2012-11-25","call","XC114337","22:43","New Zealand","https://xeno-canto.org/114337/download","Apteryx","mp3s/Apteryx73.mp3"
"75",75,"Great Spotted Kiwi","Apteryx haastii","Dan Lane","0:19","2016-11-18","song","XC345368","00:00","New Zealand","https://xeno-canto.org/345368/download","Apteryx","mp3s/Apteryx74.mp3"
"76",76,"Southern Cassowary","Casuarius casuarius","Phil Gregory","0:54","2013-03-19","alarm call","XC126083","16:00","Australia","https://xeno-canto.org/126083/download","Casuarius","mp3s/Casuarius75.mp3"
"77",77,"Southern Cassowary","Casuarius casuarius","Phil Gregory","0:12","2018-04-02","alarm call","XC404787","09:00","Australia","https://xeno-canto.org/404787/download","Casuarius","mp3s/Casuarius76.mp3"
"78",78,"Southern Cassowary","Casuarius casuarius","Phil Gregory","2:04","2016-05-13","alarm call, aircraft noise just at the loudest part of the interaction","XC316215","08:30","Australia","https://xeno-canto.org/316215/download","Casuarius","mp3s/Casuarius77.mp3"
"79",79,"Southern Cassowary","Casuarius casuarius","Phil Gregory","1:52","2016-05-13","alarm call, and the sound of the female walking through the vegetation, frog cal","XC316214","08:30","Australia","https://xeno-canto.org/316214/download","Casuarius","mp3s/Casuarius78.mp3"
"80",80,"Southern Cassowary","Casuarius casuarius","Phil Gregory","0:21","2015-08-30","call","XC276905","11:00","Australia","https://xeno-canto.org/276905/download","Casuarius","mp3s/Casuarius79.mp3"
"81",81,"Southern Cassowary","Casuarius casuarius","Fernand Deroussen","0:20","2011-11-02","song","XC158488","18:30","Australia","https://xeno-canto.org/158488/download","Casuarius","mp3s/Casuarius80.mp3"
"82",82,"Southern Cassowary","Casuarius casuarius","Phil Gregory","0:23","2010-07-24","alarm call","XC143429","08:30","Australia","https://xeno-canto.org/143429/download","Casuarius","mp3s/Casuarius81.mp3"
"83",83,"Southern Cassowary","Casuarius casuarius","Phil Gregory","0:15","2013-06-27","call","XC140150","08:00","Australia","https://xeno-canto.org/140150/download","Casuarius","mp3s/Casuarius82.mp3"
"84",84,"Southern Cassowary","Casuarius casuarius","Marc Anderson","0:17","2013-05-08","song","XC132934","11:00","Australia","https://xeno-canto.org/132934/download","Casuarius","mp3s/Casuarius83.mp3"
"85",85,"Southern Cassowary","Casuarius casuarius","Phil Gregory","0:31","2013-03-17","call","XC125292","11:00","Australia","https://xeno-canto.org/125292/download","Casuarius","mp3s/Casuarius84.mp3"
"86",86,"Southern Cassowary","Casuarius casuarius","Phil Gregory","1:54","2013-03-14","","XC125291","11:00","Australia","https://xeno-canto.org/125291/download","Casuarius","mp3s/Casuarius85.mp3"
"87",87,"Southern Cassowary","Casuarius casuarius","Phil Gregory","1:08","2013-01-20","call","XC120893","07:00","Australia","https://xeno-canto.org/120893/download","Casuarius","mp3s/Casuarius86.mp3"
"88",88,"Southern Cassowary","Casuarius casuarius","Marc Anderson","0:19","2018-09-08","song","XC482590","07:00","Australia","https://xeno-canto.org/482590/download","Casuarius","mp3s/Casuarius87.mp3"
"89",89,"Southern Cassowary","Casuarius casuarius","Marc Anderson","0:17","2015-11-21","song","XC337534","07:00","Australia","https://xeno-canto.org/337534/download","Casuarius","mp3s/Casuarius88.mp3"
"90",90,"Southern Cassowary","Casuarius casuarius","Phil Gregory","0:05","2016-09-19","alarm call","XC335574","08:00","Australia","https://xeno-canto.org/335574/download","Casuarius","mp3s/Casuarius89.mp3"
"91",91,"Southern Cassowary","Casuarius casuarius","Phil Gregory","0:39","2015-08-30","call","XC276900","11:00","Australia","https://xeno-canto.org/276900/download","Casuarius","mp3s/Casuarius90.mp3"
"92",92,"Southern Cassowary","Casuarius casuarius","Phil Gregory","1:19","2014-08-31","brush-turkeys scraping and scratching","XC194118","11:30","Australia","https://xeno-canto.org/194118/download","Casuarius","mp3s/Casuarius91.mp3"
"93",93,"Southern Cassowary","Casuarius casuarius","Jeremy Hegge","1:34","2014-01-03","call","XC168205","22:30","Australia","https://xeno-canto.org/168205/download","Casuarius","mp3s/Casuarius92.mp3"
"94",94,"Southern Cassowary","Casuarius casuarius","Phil Gregory","2:28","2013-12-23","alarm call, microhylid frogs, raindrops","XC158564","17:30","Australia","https://xeno-canto.org/158564/download","Casuarius","mp3s/Casuarius93.mp3"
"95",95,"Southern Cassowary","Casuarius casuarius","Phil Gregory","0:02","2010-07-24","alarm call","XC143430","08:30","Australia","https://xeno-canto.org/143430/download","Casuarius","mp3s/Casuarius94.mp3"
"96",96,"Dwarf Cassowary","Casuarius bennetti","Todd Mark","0:09","2019-09-19","alarm call, threat display of pet cassowary in enclosed pen., juve","XC524398","08:00","Papua New Guinea","https://xeno-canto.org/524398/download","Casuarius","mp3s/Casuarius95.mp3"
"97",97,"Dwarf Cassowary","Casuarius bennetti","Scott Connop","0:15","1993-09-29","alarm call","XC590323","09:20","Papua New Guinea","https://xeno-canto.org/590323/download","Casuarius","mp3s/Casuarius96.mp3"
"98",98,"Northern Cassowary","Casuarius unappendiculatus","Marc Anderson","0:30","2019-08-18","call","XC498017","08:30","Indonesia","https://xeno-canto.org/498017/download","Casuarius","mp3s/Casuarius97.mp3"
"99",99,"Northern Cassowary","Casuarius unappendiculatus","Iain Woxvold","0:10","2011-03-01","call, calls","XC558583","12:15","Papua New Guinea","https://xeno-canto.org/558583/download","Casuarius","mp3s/Casuarius98.mp3"
"100",100,"Northern Cassowary","Casuarius unappendiculatus","Marc Anderson","0:28","2019-08-19","call","XC498016","07:30","Indonesia","https://xeno-canto.org/498016/download","Casuarius","mp3s/Casuarius99.mp3"
"101",101,"Northern Cassowary","Casuarius unappendiculatus","Marc Anderson","0:21","2019-08-19","call","XC498015","07:30","Indonesia","https://xeno-canto.org/498015/download","Casuarius","mp3s/Casuarius100.mp3"
"102",102,"Northern Cassowary","Casuarius unappendiculatus","Iain Woxvold","0:10","2011-03-01","call, calls","XC558582","07:05","Papua New Guinea","https://xeno-canto.org/558582/download","Casuarius","mp3s/Casuarius101.mp3"
"103",103,"Northern Cassowary","Casuarius unappendiculatus","Frank Lambert","0:07","2013-07-28","call","XC209609","07:42","Indonesia","https://xeno-canto.org/209609/download","Casuarius","mp3s/Casuarius102.mp3"
"104",104,"Emu","Dromaius novaehollandiae","Marc Anderson","0:37","2020-08-29","drumming","XC597154","23:30","Australia","https://xeno-canto.org/597154/download","Dromaius","mp3s/Dromaius103.mp3"
"105",105,"Emu","Dromaius novaehollandiae","Marc Anderson","0:28","2015-10-15","call","XC287026","05:00","Australia","https://xeno-canto.org/287026/download","Dromaius","mp3s/Dromaius104.mp3"
"106",106,"Emu","Dromaius novaehollandiae","Marc Anderson","0:27","2015-03-30","call","XC233818","07:00","Australia","https://xeno-canto.org/233818/download","Dromaius","mp3s/Dromaius105.mp3"
"107",107,"Emu","Dromaius novaehollandiae","Tom Tarrant","0:29","2012-06-29","drumming","XC195089","06:30","Australia","https://xeno-canto.org/195089/download","Dromaius","mp3s/Dromaius106.mp3"
"108",108,"Emu","Dromaius novaehollandiae","Marc Anderson","0:10","2013-05-08","call, drumming","XC132935","11:00","Australia","https://xeno-canto.org/132935/download","Dromaius","mp3s/Dromaius107.mp3"
"109",109,"Emu","Dromaius novaehollandiae","Marc Anderson","1:20","2021-10-06","call","XC681004","18:30","Australia","https://xeno-canto.org/681004/download","Dromaius","mp3s/Dromaius108.mp3"
"110",110,"Emu","Dromaius novaehollandiae","Marc Anderson","0:47","2020-08-29","drumming","XC597155","23:30","Australia","https://xeno-canto.org/597155/download","Dromaius","mp3s/Dromaius109.mp3"
"111",111,"Emu","Dromaius novaehollandiae","Martin Cake","0:12","2020-07-17","begging call","XC577709","14:00","Australia","https://xeno-canto.org/577709/download","Dromaius","mp3s/Dromaius110.mp3"
"112",112,"Emu","Dromaius novaehollandiae","Marc Anderson","1:08","2020-06-27","song","XC575654","06:30","Australia","https://xeno-canto.org/575654/download","Dromaius","mp3s/Dromaius111.mp3"
"113",113,"Emu","Dromaius novaehollandiae","Greg McLachlan","0:03","2016-09-04","call","XC343777","13:00","Australia","https://xeno-canto.org/343777/download","Dromaius","mp3s/Dromaius112.mp3"
"114",114,"Emu","Dromaius novaehollandiae","Marc Anderson","0:09","2013-10-10","call, drumming","XC171789","08:00","Australia","https://xeno-canto.org/171789/download","Dromaius","mp3s/Dromaius113.mp3"
"115",115,"Emu","Dromaius novaehollandiae","Simon Elliott","0:18","2009-09-07","begging call, call","XC113130","15:30","Australia","https://xeno-canto.org/113130/download","Dromaius","mp3s/Dromaius114.mp3"
"116",116,"Emu","Dromaius novaehollandiae","Marc Anderson","0:47","2020-06-27","song","XC575653","06:30","Australia","https://xeno-canto.org/575653/download","Dromaius","mp3s/Dromaius115.mp3"
"117",117,"Emu","Dromaius novaehollandiae","Pieter de Groot Boersma","0:08","2015-12-15","call","XC326393","16:00","Australia","https://xeno-canto.org/326393/download","Dromaius","mp3s/Dromaius116.mp3"
"118",118,"Emu","Dromaius novaehollandiae","Marc Anderson","0:36","2015-10-15","call","XC287027","05:00","Australia","https://xeno-canto.org/287027/download","Dromaius","mp3s/Dromaius117.mp3"
"119",119,"Emu","Dromaius novaehollandiae","Jeremy Hegge","0:13","2015-05-04","call, drumming","XC243487","02:30","Australia","https://xeno-canto.org/243487/download","Dromaius","mp3s/Dromaius118.mp3"
"120",120,"Emu","Dromaius novaehollandiae","Marc Anderson","0:09","2015-03-30","call","XC233817","07:00","Australia","https://xeno-canto.org/233817/download","Dromaius","mp3s/Dromaius119.mp3"
"121",121,"Grey Tinamou","Tinamus tao","JAYRSON ARAUJO DE OLIVEIRA","0:04","2022-09-22","call","XC755231","11:09","Brazil","https://xeno-canto.org/755231/download","Tinamus","mp3s/Tinamus120.mp3"
"122",122,"Grey Tinamou","Tinamus tao","JAYRSON ARAUJO DE OLIVEIRA","0:12","2022-09-22","call","XC755226","10:43","Brazil","https://xeno-canto.org/755226/download","Tinamus","mp3s/Tinamus121.mp3"
"123",123,"Grey Tinamou","Tinamus tao tao","GABRIEL LEITE","0:50","2020-10-13","song","XC597722","06:30","Brazil","https://xeno-canto.org/597722/download","Tinamus","mp3s/Tinamus122.mp3"
"124",124,"Grey Tinamou","Tinamus tao","Fabrice Schmitt","0:27","2016-02-19","song","XC318739","07:30","Colombia","https://xeno-canto.org/318739/download","Tinamus","mp3s/Tinamus123.mp3"
"125",125,"Grey Tinamou","Tinamus tao","Niels Krabbe","3:43","2007-02-05","song, tremolo song","XC236216","07:20","Colombia","https://xeno-canto.org/236216/download","Tinamus","mp3s/Tinamus124.mp3"
"126",126,"Grey Tinamou","Tinamus tao","Jeremy Minns","0:47","2005-10-26","song, tremolo song","XC217695","06:48","Brazil","https://xeno-canto.org/217695/download","Tinamus","mp3s/Tinamus125.mp3"
"127",127,"Grey Tinamou","Tinamus tao","A. Bennett Hennessey","0:04","1998-10-22","song, a single song","XC3145","6:12","Bolivia","https://xeno-canto.org/3145/download","Tinamus","mp3s/Tinamus126.mp3"
"128",128,"Grey Tinamou","Tinamus tao kleei","Richard E. Webster","0:08","2021-11-24","song","XC708505","10:05","Bolivia","https://xeno-canto.org/708505/download","Tinamus","mp3s/Tinamus127.mp3"
"129",129,"Grey Tinamou","Tinamus tao","Dante Buzzetti","0:06","2008-08-04","song","XC564679","19:53","Brazil","https://xeno-canto.org/564679/download","Tinamus","mp3s/Tinamus128.mp3"
"130",130,"Grey Tinamou","Tinamus tao","Dante Buzzetti","0:48","2008-08-04","song","XC557622","18:53","Brazil","https://xeno-canto.org/557622/download","Tinamus","mp3s/Tinamus129.mp3"
"131",131,"Grey Tinamou","Tinamus tao","Dante Buzzetti","0:20","2008-08-04","song","XC557618","18:45","Brazil","https://xeno-canto.org/557618/download","Tinamus","mp3s/Tinamus130.mp3"
"132",132,"Grey Tinamou","Tinamus tao","Fernando Igor de Godoy","0:27","2017-07-26","song","XC537901","07:00","Brazil","https://xeno-canto.org/537901/download","Tinamus","mp3s/Tinamus131.mp3"
"133",133,"Grey Tinamou","Tinamus tao","Fernando Igor de Godoy","0:21","2017-07-26","song","XC537897","07:00","Brazil","https://xeno-canto.org/537897/download","Tinamus","mp3s/Tinamus132.mp3"
"134",134,"Grey Tinamou","Tinamus tao","Dante Buzzetti","0:05","2008-08-03","song","XC497975","6:23","Brazil","https://xeno-canto.org/497975/download","Tinamus","mp3s/Tinamus133.mp3"
"135",135,"Grey Tinamou","Tinamus tao","Johana Zuluaga-Bonilla","0:26","2018-05-05","song, insectos","XC428202","06:00","Colombia","https://xeno-canto.org/428202/download","Tinamus","mp3s/Tinamus134.mp3"
"136",136,"Grey Tinamou","Tinamus tao","Yoann BLANCHON","0:05","2015-08-27","song","XC289850","18:00","Bolivia","https://xeno-canto.org/289850/download","Tinamus","mp3s/Tinamus135.mp3"
